class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
25,"Harm + Swell + OT",f1,0.9602,0.9666,0.9732,0.9455,0.5631,0.1678
26,"Harm + Sag + Flicker + OT",f1,0.9760,0.9763,0.9694,0.9551,0.7137,0.2341
27,"Harm + Swell + Flicker + OT",f1,0.9117,0.9079,0.9108,0.8573,0.5249,0.1608
28,"Sag + Harm + Flicker + OT",f1,0.4933,0.4968,0.4983,0.5168,0.4200,0.1959
29,"Swell + Harm + Flicker + OT",f1,0.4713,0.4837,0.4371,0.4214,0.2911,0.1130
1,"Pure sinusoidal",kappa,0.8201,0.8110,0.7705,0.4917,0.3322,0.1415
2,"Sag",kappa,0.9621,0.9621,0.9621,0.8985,0.6300,0.1642
3,"Swell",kappa,0.9966,0.9965,0.9930,0.8164,0.3248,0.0424
4,"Interruption",kappa,0.9897,0.9897,0.9897,0.9726,0.9531,0.6726
5,"Impulsive transient",kappa,0.6599,0.6317,0.5813,0.2329,0.3179,0.1193
6,"Oscillatory transient",kappa,0.9863,0.9863,0.9830,0.9723,0.7963,0.2151
7,"Harmonics",kappa,1.0000,1.0000,1.0000,1.0000,0.9505,0.4519
8,"Harmonics + Sag",kappa,0.9895,0.9895,0.9895,0.9581,0.7083,0.1766
9,"Harmonics + Swell",kappa,0.9753,0.9823,0.9857,0.9619,0.5168,0.1798
10,"Flicker",kappa,1.0000,1.0000,1.0000,0.9932,0.8361,0.1980
11,"Flicker + Sag",kappa,0.9686,0.9686,0.9686,0.9757,0.8329,0.2071
12,"Flicker + Swell",kappa,1.0000,1.0000,0.9966,0.9535,0.5324,0.1485
13,"Sag + Osc. transient",kappa,0.9600,0.9600,0.9503,0.9118,0.6190,0.1983
14,"Swell + Osc. transient",kappa,0.9795,0.9764,0.9865,0.8489,0.4132,0.1419
15,"Sag + Harmonics",kappa,0.5317,0.5424,0.5784,0.5220,0.3986,0.0746
16,"Swell + Harmonics",kappa,0.4513,0.4564,0.4556,0.3710,0.3029,0.1117
17,"Notch",kappa,0.9803,0.9771,0.9825,0.9332,0.6433,0.1996
