class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
28,"Sag + Harm + Flicker + OT",recall,0.6667,0.6467,0.6733,0.6067,0.4067,0.1600
29,"Swell + Harm + Flicker + OT",recall,0.7667,0.7200,0.6867,0.5467,0.2933,0.0667
1,"Pure sinusoidal",f1,0.8000,0.9931,0.6371,0.4443,0.2731,0.1241
2,"Sag",f1,0.8788,0.9441,0.9492,0.8168,0.4555,0.1686
3,"Swell",f1,0.9028,0.9796,0.9804,0.7479,0.4489,0.0447
4,"Interruption",f1,0.9599,0.9708,0.9676,0.9575,0.9292,0.7484
5,"Impulsive transient",f1,0.7967,0.9967,0.7392,0.3401,0.1601,0.1018
6,"Oscillatory transient",f1,0.9868,0.9902,0.9934,0.8435,0.6801,0.2829
7,"Harmonics",f1,0.8000,1.0000,1.0000,1.0000,0.9318,0.5397
8,"Harmonics + Sag",f1,0.9558,0.9832,0.9684,0.9011,0.6496,0.2102
9,"Harmonics + Swell",f1,0.9624,0.9934,0.9836,0.9380,0.5990,0.1418
10,"Flicker",f1,0.7967,0.9898,0.9534,0.7777,0.6423,0.2129
11,"Flicker + Sag",f1,0.8730,0.9505,0.9646,0.9471,0.6235,0.1756
12,"Flicker + Swell",f1,0.8361,0.9388,0.9933,0.8908,0.5509,0.1314
13,"Sag + Osc. transient",f1,0.9381,0.9614,0.9642,0.8800,0.6808,0.1629
14,"Swell + Osc. transient",f1,0.9832,0.9933,0.9898,0.8443,0.5042,0.1090
15,"Sag + Harmonics",f1,0.6229,0.6718,0.6854,0.5495,0.3594,0.1599
16,"Swell + Harmonics",f1,0.6972,0.7329,0.6949,0.5399,0.3324,0.1241
17,"Notch",f1,0.9227,1.0000,0.9200,0.8120,0.5650,0.2631
18,"Harm + Sag + Flicker",f1,0.9337,0.9611,0.9569,0.9106,0.5852,0.3306
19,"Harm + Swell + Flicker",f1,0.9323,0.9560,0.9672,0.8856,0.5660,0.1563
20,"Sag + Harm + Flicker",f1,0.7154,0.7278,0.7302,0.6464,0.4057,0.2034
21,"Swell + Harm + Flicker",f1,0.7505,0.7385,0.6568,0.4870,0.3394,0.1396
22,"Sag + Harm + OT",f1,0.6548,0.7026,0.7177,0.6249,0.3691,0.2362
23,"Swell + Harm + OT",f1,0.7426,0.7542,0.6976,0.5282,0.2899,0.1336
24,"Harm + Sag + OT",f1,0.9234,0.9246,0.9262,0.8763,0.6843,0.3067
25,"Harm + Swell + OT",f1,0.9616,0.9864,0.9835,0.9603,0.5836,0.1108
26,"Harm + Sag + Flicker + OT",f1,0.9099,0.9121,0.9116,0.8686,0.6025,0.1651
27,"Harm + Swell + Flicker + OT",f1,0.9393,0.9696,0.9628,0.8767,0.5432,0.2459
28,"Sag + Harm + Flicker + OT",f1,0.6785,0.6808,0.6940,0.5896,0.3456,0.1853
29,"Swell + Harm + Flicker + OT",f1,0.7555,0.7435,0.6917,0.5112,0.2786,0.0847
1,"Pure sinusoidal",kappa,0.8000,0.9929,0.6315,0.4309,0.2558,0.1049
2,"Sag",kappa,0.8755,0.9421,0.9474,0.8112,0.4455,0.1544
3,"Swell",kappa,0.9003,0.9789,0.9797,0.7411,0.4353,0.0296
4,"Interruption",kappa,0.9585,0.9697,0.9664,0.9559,0.9266,0.7435
5,"Impulsive transient",kappa,0.7953,0.9966,0.7305,0.3266,0.1439,0.0870
6,"Oscillatory transient",kappa,0.9863,0.9898,0.9932,0.8411,0.6759,0.2663
7,"Harmonics",kappa,0.8000,1.0000,1.0000,1.0000,0.9296,0.5290
8,"Harmonics + Sag",kappa,0.9544,0.9826,0.9672,0.8975,0.6420,0.1955
9,"Harmonics + Swell",kappa,0.9609,0.9932,0.9830,0.9357,0.5915,0.1241
10,"Flicker",kappa,0.7966,0.9895,0.9521,0.7768,0.6362,0.1903
11,"Flicker + Sag",kappa,0.8661,0.9483,0.9632,0.9453,0.6133,0.1525
12,"Flicker + Swell",kappa,0.8275,0.9371,0.9931,0.8873,0.5421,0.1026
13,"Sag + Osc. transient",kappa,0.9357,0.9600,0.9629,0.8757,0.6714,0.1498
14,"Swell + Osc. transient",kappa,0.9826,0.9931,0.9895,0.8390,0.4916,0.0894
15,"Sag + Harmonics",kappa,0.6133,0.6615,0.6758,0.5365,0.3398,0.1321
16,"Swell + Harmonics",kappa,0.6878,0.7236,0.6843,0.5227,0.3167,0.1006
17,"Notch",kappa,0.9190,1.0000,0.9159,0.8025,0.5492,0.2312
18,"Harm + Sag + Flicker",kappa,0.9312,0.9597,0.9555,0.9077,0.5759,0.3102
19,"Harm + Swell + Flicker",kappa,0.9299,0.9544,0.9660,0.8813,0.5568,0.1375
20,"Sag + Harm + Flicker",kappa,0.7045,0.7176,0.7203,0.6329,0.3881,0.1823
21,"Swell + Harm + Flicker",kappa,0.7409,0.7292,0.6465,0.4693,0.3218,0.1169
22,"Sag + Harm + OT",kappa,0.6447,0.6924,0.7080,0.6124,0.3435,0.2207
23,"Swell + Harm + OT",kappa,0.7338,0.7455,0.6871,0.5114,0.2667,0.0934
24,"Harm + Sag + OT",kappa,0.9205,0.9217,0.9235,0.8718,0.6699,0.2896
25,"Harm + Swell + OT",kappa,0.9603,0.9860,0.9829,0.9588,0.5684,0.0949
26,"Harm + Sag + Flicker + OT",kappa,0.9068,0.9092,0.9086,0.8645,0.5869,0.1475
27,"Harm + Swell + Flicker + OT",kappa,0.9371,0.9685,0.9615,0.8724,0.5264,0.2156
28,"Sag + Harm + Flicker + OT",kappa,0.6672,0.6699,0.6837,0.5752,0.3193,0.1612
29,"Swell + Harm + Flicker + OT",kappa,0.7467,0.7351,0.6818,0.4921,0.2527,0.0584
