class_id,class_name,metric,clean,40dB,30dB,20dB,10dB,0dB
2,"Sag",f1,0.9493,0.9663,0.9632,0.8979,0.5752,0.2334
3,"Swell",f1,0.9867,0.9966,0.9933,0.8453,0.5281,0.0562
4,"Interruption",f1,0.9649,0.9710,0.9676,0.9545,0.9388,0.8410
5,"Impulsive transient",f1,0.9905,0.9967,0.8165,0.4988,0.3892,0.1516
6,"Oscillatory transient",f1,0.9902,0.9967,0.9967,0.9864,0.8539,0.3494
7,"Harmonics",f1,1.0000,1.0000,1.0000,1.0000,0.9726,0.7070
8,"Harmonics + Sag",f1,0.9797,0.9866,0.9770,0.9333,0.7922,0.3426
9,"Harmonics + Swell",f1,0.9934,0.9967,0.9967,0.9829,0.7992,0.3164
10,"Flicker",f1,1.0000,1.0000,1.0000,0.9967,0.8705,0.2758
11,"Flicker + Sag",f1,0.9933,1.0000,1.0000,0.9933,0.7830,0.2301
12,"Flicker + Swell",f1,0.9905,0.9935,0.9901,0.9612,0.7174,0.1472
13,"Sag + Osc. transient",f1,0.9650,0.9678,0.9645,0.9101,0.7739,0.2401
14,"Swell + Osc. transient",f1,0.9899,0.9933,0.9933,0.9352,0.6208,0.1161
15,"Sag + Harmonics",f1,0.7081,0.7242,0.7028,0.6123,0.4555,0.1979
16,"Swell + Harmonics",f1,0.7334,0.7370,0.7129,0.6179,0.4383,0.1735
17,"Notch",f1,1.0000,1.0000,1.0000,0.9159,0.6845,0.2883
18,"Harm + Sag + Flicker",f1,0.9802,0.9868,0.9729,0.9368,0.7584,0.4075
19,"Harm + Swell + Flicker",f1,0.9804,0.9837,0.9804,0.9226,0.7501,0.2361
20,"Sag + Harm + Flicker",f1,0.7549,0.7550,0.7348,0.6750,0.4628,0.1956
21,"Swell + Harm + Flicker",f1,0.7760,0.7535,0.7144,0.6090,0.3378,0.1342
22,"Sag + Harm + OT",f1,0.7173,0.7251,0.7280,0.6602,0.4625,0.3065
23,"Swell + Harm + OT",f1,0.7397,0.7452,0.6975,0.6040,0.3545,0.1346
24,"Harm + Sag + OT",f1,0.9436,0.9401,0.9433,0.9019,0.7676,0.3427
25,"Harm + Swell + OT",f1,0.9901,1.0000,0.9933,0.9801,0.6975,0.3002
26,"Harm + Sag + Flicker + OT",f1,0.9394,0.9399,0.9434,0.9137,0.6868,0.2252
27,"Harm + Swell + Flicker + OT",f1,0.9693,0.9829,0.9761,0.9148,0.6110,0.2221
28,"Sag + Harm + Flicker + OT",f1,0.6594,0.6904,0.6825,0.5899,0.4348,0.2904
29,"Swell + Harm + Flicker + OT",f1,0.7562,0.7600,0.7282,0.6371,0.3188,0.0958
1,"Pure sinusoidal",kappa,1.0000,1.0000,0.7965,0.4823,0.2289,0.2399
2,"Sag",kappa,0.9476,0.9651,0.9619,0.8942,0.5616,0.2077
3,"Swell",kappa,0.9862,0.9965,0.9931,0.8398,0.5102,0.0388
4,"Interruption",kappa,0.9636,0.9699,0.9664,0.9528,0.9366,0.8348
5,"Impulsive transient",kappa,0.9901,0.9966,0.8098,0.4814,0.3639,0.1301
6,"Oscillatory transient",kappa,0.9898,0.9966,0.9966,0.9860,0.8488,0.3267
7,"Harmonics",kappa,1.0000,1.0000,1.0000,1.0000,0.9717,0.6959
8,"Harmonics + Sag",kappa,0.9789,0.9861,0.9762,0.9310,0.7850,0.3175
9,"Harmonics + Swell",kappa,0.9932,0.9966,0.9966,0.9823,0.7912,0.2881
10,"Flicker",kappa,1.0000,1.0000,1.0000,0.9966,0.8656,0.2533
11,"Flicker + Sag",kappa,0.9931,1.0000,1.0000,0.9931,0.7749,0.1974
12,"Flicker + Swell",kappa,0.9901,0.9933,0.9897,0.9597,0.7071,0.1212
13,"Sag + Osc. transient",kappa,0.9637,0.9667,0.9631,0.9069,0.7666,0.2235
14,"Swell + Osc. transient",kappa,0.9896,0.9931,0.9931,0.9330,0.6073,0.0942
15,"Sag + Harmonics",kappa,0.6988,0.7148,0.6928,0.5993,0.4332,0.1725
16,"Swell + Harmonics",kappa,0.7249,0.7280,0.7027,0.6038,0.4159,0.1365
17,"Notch",kappa,1.0000,1.0000,1.0000,0.9131,0.6739,0.2632
18,"Harm + Sag + Flicker",kappa,0.9795,0.9863,0.9719,0.9345,0.7490,0.3865
19,"Harm + Swell + Flicker",kappa,0.9797,0.9831,0.9797,0.9196,0.7406,0.2157
20,"Sag + Harm + Flicker",kappa,0.7459,0.7461,0.7252,0.6634,0.4447,0.1693
21,"Swell + Harm + Flicker",kappa,0.7673,0.7443,0.7042,0.5953,0.3180,0.1081
22,"Sag + Harm + OT",kappa,0.7069,0.7148,0.7179,0.6476,0.4448,0.2857
23,"Swell + Harm + OT",kappa,0.7310,0.7366,0.6875,0.5905,0.3353,0.1016
24,"Harm + Sag + OT",kappa,0.9416,0.9379,0.9412,0.8984,0.7592,0.3211
25,"Harm + Swell + OT",kappa,0.9897,1.0000,0.9931,0.9794,0.6875,0.2787
26,"Harm + Sag + Flicker + OT",kappa,0.9373,0.9377,0.9413,0.9106,0.6766,0.2038
27,"Harm + Swell + Flicker + OT",kappa,0.9682,0.9823,0.9753,0.9119,0.5992,0.2067
28,"Sag + Harm + Flicker + OT",kappa,0.6488,0.6804,0.6724,0.5761,0.4157,0.2692
29,"Swell + Harm + Flicker + OT",kappa,0.7473,0.7513,0.7182,0.6241,0.2977,0.0669
